,6, 52, 55, 14, 20*, 19, 17, 43, 39, 36, 23, 5, 21, 35, 9*, 24 
C1, 999.9, 999.9, 999.9, 999.9, 98.0, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 100.0, 999.9 
C2, 999.9, 999.9, 999.9, 999.9, 93.0, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 95.0, 999.9 
C3, 999.9, 999.9, 999.9, 999.9, 98.0, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 93.0, 999.9 
C4, 999.9, 999.9, 999.9, 999.9, 95.0, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 97.0, 999.9 
C5, 999.9, 999.9, 999.9, 999.9, 90.0, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 999.9, 98.0, 999.9 
