,28*, 33*, 12, 40*, 42, 46*, 38, 18, 30* 
A1, 0.0, 0.88, 999.9, 0.01, 999.9, 0.08, 999.9, 999.9, 0.32 
A2, 0.0, 0.92, 999.9, 0.05, 999.9, 0.06, 999.9, 999.9, 0.12 
