,28*, 33*, 12, 40*, 42, 46*, 38, 18, 30* 
A1, 1.0, 98.0, 999.9, 6.0, 999.9, 95.0, 999.9, 999.9, 99.0 
A2, 3.0, 95.0, 999.9, 8.0, 999.9, 94.0, 999.9, 999.9, 97.0 
