,28*, 33*, 12, 40*, 42, 46*, 38, 18, 30* 
A1, less_per, less_per, less_per, less_per, less_per, less_per, less_per, less_per, less_per 
A2, less_per, less_per, less_per, less_per, less_per, less_per, less_per, less_per, less_per 
