,28*, 33*, 12, 40*, 42, 46*, 38, 18, 30* 
A1, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per 
A2, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per, comp_per 
